Sentence #1 (80 tokens):
Early, heavy, war-time propaganda short urging people to be careful with their spending practices, in effort to prevent any runaway inflation.Using scare, guilt and patriotic jingoistic rhetoric, which was normal for the time, the government was concern that the sudden war-time production and therefore wage increase and subsequent spending practices if not checked could cause serious problems during and after the war.It truly is a window into the past, historically and culturally.
[Text=Early CharacterOffsetBegin=4 CharacterOffsetEnd=9 PartOfSpeech=RB] [Text=, CharacterOffsetBegin=9 CharacterOffsetEnd=10 PartOfSpeech=,] [Text=heavy CharacterOffsetBegin=11 CharacterOffsetEnd=16 PartOfSpeech=JJ] [Text=, CharacterOffsetBegin=16 CharacterOffsetEnd=17 PartOfSpeech=,] [Text=war-time CharacterOffsetBegin=18 CharacterOffsetEnd=26 PartOfSpeech=JJ] [Text=propaganda CharacterOffsetBegin=27 CharacterOffsetEnd=37 PartOfSpeech=NN] [Text=short CharacterOffsetBegin=38 CharacterOffsetEnd=43 PartOfSpeech=JJ] [Text=urging CharacterOffsetBegin=44 CharacterOffsetEnd=50 PartOfSpeech=VBG] [Text=people CharacterOffsetBegin=51 CharacterOffsetEnd=57 PartOfSpeech=NNS] [Text=to CharacterOffsetBegin=58 CharacterOffsetEnd=60 PartOfSpeech=TO] [Text=be CharacterOffsetBegin=61 CharacterOffsetEnd=63 PartOfSpeech=VB] [Text=careful CharacterOffsetBegin=64 CharacterOffsetEnd=71 PartOfSpeech=JJ] [Text=with CharacterOffsetBegin=72 CharacterOffsetEnd=76 PartOfSpeech=IN] [Text=their CharacterOffsetBegin=77 CharacterOffsetEnd=82 PartOfSpeech=PRP$] [Text=spending CharacterOffsetBegin=83 CharacterOffsetEnd=91 PartOfSpeech=NN] [Text=practices CharacterOffsetBegin=92 CharacterOffsetEnd=101 PartOfSpeech=NNS] [Text=, CharacterOffsetBegin=101 CharacterOffsetEnd=102 PartOfSpeech=,] [Text=in CharacterOffsetBegin=103 CharacterOffsetEnd=105 PartOfSpeech=IN] [Text=effort CharacterOffsetBegin=106 CharacterOffsetEnd=112 PartOfSpeech=NN] [Text=to CharacterOffsetBegin=113 CharacterOffsetEnd=115 PartOfSpeech=TO] [Text=prevent CharacterOffsetBegin=116 CharacterOffsetEnd=123 PartOfSpeech=VB] [Text=any CharacterOffsetBegin=124 CharacterOffsetEnd=127 PartOfSpeech=DT] [Text=runaway CharacterOffsetBegin=128 CharacterOffsetEnd=135 PartOfSpeech=JJ] [Text=inflation.Using CharacterOffsetBegin=136 CharacterOffsetEnd=151 PartOfSpeech=NN] [Text=scare CharacterOffsetBegin=152 CharacterOffsetEnd=157 PartOfSpeech=NN] [Text=, CharacterOffsetBegin=157 CharacterOffsetEnd=158 PartOfSpeech=,] [Text=guilt CharacterOffsetBegin=159 CharacterOffsetEnd=164 PartOfSpeech=NN] [Text=and CharacterOffsetBegin=165 CharacterOffsetEnd=168 PartOfSpeech=CC] [Text=patriotic CharacterOffsetBegin=169 CharacterOffsetEnd=178 PartOfSpeech=JJ] [Text=jingoistic CharacterOffsetBegin=179 CharacterOffsetEnd=189 PartOfSpeech=JJ] [Text=rhetoric CharacterOffsetBegin=190 CharacterOffsetEnd=198 PartOfSpeech=NN] [Text=, CharacterOffsetBegin=198 CharacterOffsetEnd=199 PartOfSpeech=,] [Text=which CharacterOffsetBegin=200 CharacterOffsetEnd=205 PartOfSpeech=WDT] [Text=was CharacterOffsetBegin=206 CharacterOffsetEnd=209 PartOfSpeech=VBD] [Text=normal CharacterOffsetBegin=210 CharacterOffsetEnd=216 PartOfSpeech=JJ] [Text=for CharacterOffsetBegin=217 CharacterOffsetEnd=220 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=221 CharacterOffsetEnd=224 PartOfSpeech=DT] [Text=time CharacterOffsetBegin=225 CharacterOffsetEnd=229 PartOfSpeech=NN] [Text=, CharacterOffsetBegin=229 CharacterOffsetEnd=230 PartOfSpeech=,] [Text=the CharacterOffsetBegin=231 CharacterOffsetEnd=234 PartOfSpeech=DT] [Text=government CharacterOffsetBegin=235 CharacterOffsetEnd=245 PartOfSpeech=NN] [Text=was CharacterOffsetBegin=246 CharacterOffsetEnd=249 PartOfSpeech=VBD] [Text=concern CharacterOffsetBegin=250 CharacterOffsetEnd=257 PartOfSpeech=NN] [Text=that CharacterOffsetBegin=258 CharacterOffsetEnd=262 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=263 CharacterOffsetEnd=266 PartOfSpeech=DT] [Text=sudden CharacterOffsetBegin=267 CharacterOffsetEnd=273 PartOfSpeech=JJ] [Text=war-time CharacterOffsetBegin=274 CharacterOffsetEnd=282 PartOfSpeech=JJ] [Text=production CharacterOffsetBegin=283 CharacterOffsetEnd=293 PartOfSpeech=NN] [Text=and CharacterOffsetBegin=294 CharacterOffsetEnd=297 PartOfSpeech=CC] [Text=therefore CharacterOffsetBegin=298 CharacterOffsetEnd=307 PartOfSpeech=RB] [Text=wage CharacterOffsetBegin=308 CharacterOffsetEnd=312 PartOfSpeech=NN] [Text=increase CharacterOffsetBegin=313 CharacterOffsetEnd=321 PartOfSpeech=NN] [Text=and CharacterOffsetBegin=322 CharacterOffsetEnd=325 PartOfSpeech=CC] [Text=subsequent CharacterOffsetBegin=326 CharacterOffsetEnd=336 PartOfSpeech=JJ] [Text=spending CharacterOffsetBegin=337 CharacterOffsetEnd=345 PartOfSpeech=NN] [Text=practices CharacterOffsetBegin=346 CharacterOffsetEnd=355 PartOfSpeech=NNS] [Text=if CharacterOffsetBegin=356 CharacterOffsetEnd=358 PartOfSpeech=IN] [Text=not CharacterOffsetBegin=359 CharacterOffsetEnd=362 PartOfSpeech=RB] [Text=checked CharacterOffsetBegin=363 CharacterOffsetEnd=370 PartOfSpeech=VBN] [Text=could CharacterOffsetBegin=371 CharacterOffsetEnd=376 PartOfSpeech=MD] [Text=cause CharacterOffsetBegin=377 CharacterOffsetEnd=382 PartOfSpeech=VB] [Text=serious CharacterOffsetBegin=383 CharacterOffsetEnd=390 PartOfSpeech=JJ] [Text=problems CharacterOffsetBegin=391 CharacterOffsetEnd=399 PartOfSpeech=NNS] [Text=during CharacterOffsetBegin=400 CharacterOffsetEnd=406 PartOfSpeech=IN] [Text=and CharacterOffsetBegin=407 CharacterOffsetEnd=410 PartOfSpeech=CC] [Text=after CharacterOffsetBegin=411 CharacterOffsetEnd=416 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=417 CharacterOffsetEnd=420 PartOfSpeech=DT] [Text=war.It CharacterOffsetBegin=421 CharacterOffsetEnd=427 PartOfSpeech=NN] [Text=truly CharacterOffsetBegin=428 CharacterOffsetEnd=433 PartOfSpeech=RB] [Text=is CharacterOffsetBegin=434 CharacterOffsetEnd=436 PartOfSpeech=VBZ] [Text=a CharacterOffsetBegin=437 CharacterOffsetEnd=438 PartOfSpeech=DT] [Text=window CharacterOffsetBegin=439 CharacterOffsetEnd=445 PartOfSpeech=NN] [Text=into CharacterOffsetBegin=446 CharacterOffsetEnd=450 PartOfSpeech=IN] [Text=the CharacterOffsetBegin=451 CharacterOffsetEnd=454 PartOfSpeech=DT] [Text=past CharacterOffsetBegin=455 CharacterOffsetEnd=459 PartOfSpeech=NN] [Text=, CharacterOffsetBegin=459 CharacterOffsetEnd=460 PartOfSpeech=,] [Text=historically CharacterOffsetBegin=461 CharacterOffsetEnd=473 PartOfSpeech=RB] [Text=and CharacterOffsetBegin=474 CharacterOffsetEnd=477 PartOfSpeech=CC] [Text=culturally CharacterOffsetBegin=478 CharacterOffsetEnd=488 PartOfSpeech=RB] [Text=. CharacterOffsetBegin=488 CharacterOffsetEnd=489 PartOfSpeech=.] 
root(ROOT-0, rhetoric-31)
amod(rhetoric-31, Early-1)
punct(rhetoric-31, ,-2)
amod(rhetoric-31, heavy-3)
punct(rhetoric-31, ,-4)
amod(rhetoric-31, war-time-5)
dep(war-time-5, propaganda-6)
amod(propaganda-6, short-7)
partmod(short-7, urging-8)
dobj(urging-8, people-9)
aux(careful-12, to-10)
cop(careful-12, be-11)
xcomp(urging-8, careful-12)
prep(careful-12, with-13)
poss(practices-16, their-14)
nn(practices-16, spending-15)
pobj(with-13, practices-16)
punct(war-time-5, ,-17)
prep(war-time-5, in-18)
pobj(in-18, effort-19)
aux(prevent-21, to-20)
infmod(effort-19, prevent-21)
det(scare-25, any-22)
amod(scare-25, runaway-23)
nn(scare-25, inflation.Using-24)
dobj(prevent-21, scare-25)
punct(war-time-5, ,-26)
conj(war-time-5, guilt-27)
cc(war-time-5, and-28)
conj(war-time-5, patriotic-29)
amod(rhetoric-31, jingoistic-30)
punct(rhetoric-31, ,-32)
nsubj(normal-35, which-33)
cop(normal-35, was-34)
rcmod(rhetoric-31, normal-35)
prep(normal-35, for-36)
det(time-38, the-37)
pobj(for-36, time-38)
punct(rhetoric-31, ,-39)
det(government-41, the-40)
nsubj(concern-43, government-41)
cop(concern-43, was-42)
rcmod(rhetoric-31, concern-43)
mark(cause-61, that-44)
det(production-48, the-45)
amod(production-48, sudden-46)
amod(production-48, war-time-47)
nsubj(cause-61, production-48)
cc(production-48, and-49)
advmod(production-48, therefore-50)
nn(increase-52, wage-51)
conj(production-48, increase-52)
cc(production-48, and-53)
amod(practices-56, subsequent-54)
nn(practices-56, spending-55)
conj(production-48, practices-56)
mark(checked-59, if-57)
neg(checked-59, not-58)
dep(production-48, checked-59)
aux(cause-61, could-60)
ccomp(concern-43, cause-61)
amod(problems-63, serious-62)
dobj(cause-61, problems-63)
prep(cause-61, during-64)
cc(during-64, and-65)
mark(window-72, after-66)
det(war.It-68, the-67)
nsubj(window-72, war.It-68)
advmod(is-70, truly-69)
cop(window-72, is-70)
det(window-72, a-71)
conj(during-64, window-72)
prep(window-72, into-73)
det(past-75, the-74)
pobj(into-73, past-75)
punct(cause-61, ,-76)
advmod(cause-61, historically-77)
cc(historically-77, and-78)
conj(historically-77, culturally-79)
punct(rhetoric-31, .-80)

